gene,p-value,chrom
KDSR,0.365,chr18
SERPINB8,0.807,chr18
TYMS,0,chr18
CDH19,0.202,chr18
ENOSF1,0,chr18
DSEL,0.407,chr18
TMX3,0.916,chr18
LAMA1,0.69,chr18
SOCS6,0.0876,chr18
YES1,0.896,chr18
TIMM21,0.574,chr18
CNDP2,0.114,chr18
ZNF407,0.354,chr18
ZADH2,0.44,chr18
ZNF516,0.417,chr18
MBP,0.39,chr18
ATP9B,0.143,chr18
NFATC1,0.703,chr18
LOC284241,0.294,chr18
CTDP1,0.206,chr18
RBFADN,0.498,chr18
RBFA,0.49,chr18
ADNP2,0.316,chr18
MTCL1,0.00196,chr18
ANKRD12,0.061,chr18
NDUFV2,0.00618,chr18
TWSG1-DT,0.941,chr18
VAPA,0.0643,chr18
"NAPG",7.7e-05,chr18
PIEZO2,0.101,chr18
GNAL,0.00106,chr18
MPPE1,0.241,chr18
RNMT,0.0435,chr18
USP14,0.0292,chr18
TTC39C,0.118,chr18
ZNF521,0.742,chr18
METTL4,0.00434,chr18
SS18,0.136,chr18
SMCHD1,0.0136,chr18
EMILIN2,0.313,chr18
DSC3,0.0556,chr18
RNF138,0.315,chr18
ZSCAN30,0.328,chr18
ZNF397,0.762,chr18
GALNT1,0.208,chr18
C18orf21,0.279,chr18
RPRD1A,0.935,chr18
SLC39A6,0.47,chr18
TPGS2,0.0587,chr18
SETBP1,0.252,chr18
HDHD2,0.558,chr18
ACAA2,0.62,chr18
MBD1,0.451,chr18
ELAC1,0.901,chr18
ZCCHC2,0.12,chr18
PTPRM,0.113,chr18
ZNF236,0.000151428571428571,chr18
TWSG1,0.602,chr18
ROCK1P1,0.0338,chr18
PSMG2,0.58,chr18
SEH1L,0.56,chr18
IMPACT,0.187,chr18
THOC1,0.178,chr18
PPP4R1,0.881,chr18
RAB31,0.315,chr18
APCDD1,0.739,chr18
CHMP1B,0.000775,chr18
LOC107985154,0.0192,chr18
TUBB6,0.0328,chr18
AFG3L2,0.0542,chr18
FAM210A,0.287,chr18
DSG2-AS1,0.00375,chr18
DSG2,0.01057,chr18
LOC101927044,0.975,chr18
ZNF271P,0.725,chr18
ZNF24,0.994,chr18
EPG5,0.205,chr18
C18orf54,0.684,chr18
LOC105372146,0.17,chr18
MALT1,0.334,chr18
RELCH,0.155,chr18
ZNF407-AS1,0.759,chr18
TSHZ1,0.607,chr18
SLC66A2,0.0527,chr18
RALBP1,0.218,chr18
OSBPL1A,0.264,chr18
ZNF396,0.266,chr18
DLGAP1,0.0275,chr18
SMAD7,0.0906,chr18
LOC100129878,0.277,chr18
DYM,0.904,chr18
EPB41L3,0.93,chr18
L3MBTL4,0.12,chr18
ARHGAP28,0.616,chr18
DLGAP1-AS1,0.339,chr18
RAB12,0.935,chr18
PIK3C3,0.922,chr18
C18orf25,0.966,chr18
SKA1,0.164,chr18
FECH,0.444,chr18
SEC11C,0.18,chr18
RTTN,0.656,chr18
PARD6G-AS1,0.727,chr18
PARD6G,0.729,chr18
LOC105371998,0.575,chr18
SPIRE1,0.432,chr18
RNF152,0.881,chr18
ZNF532,0.322,chr18
HSBP1L1,0.525,chr18
MYOM1,0.634,chr18
CYB5A,0.00352,chr18
CABLES1,0.291,chr18
MYL12-AS1,0.00961,chr18
MYL12A,0.0101,chr18
ATP5F1A,0.339,chr18
ZNF226,0.58,chr19
ZNF227,0.393,chr19
ZNF235,0.241,chr19
ZNF229,0.794,chr19
CEACAM16-AS1,0.277,chr19
CEACAM19,0.0575,chr19
PVR,0.278,chr19
BCL3,0.912,chr19
NECTIN2,0.169,chr19
POLR1G,0.599,chr19
ERCC1,0.271,chr19
FOSB,0.355,chr19
OPA3,0.793,chr19
QPCTL,0.00848,chr19
FBXO46,0.579,chr19
SIX5,0.881,chr19
CCDC8,0.0128,chr19
PNMA8A,0.427,chr19
CALM3,0.0641,chr19
DPP9,0.324,chr19
SLC1A5,0.499,chr19
FKRP,0.92,chr19
ARHGAP35,0.186,chr19
EHD2,0.853,chr19
NOP53,0.59,chr19
PLA2G4C,0.00868,chr19
TICAM1,0.00671,chr19
CARD8,0.0751,chr19
TMEM143,0.238,chr19
KDELR1,0.326,chr19
PLIN3,0.597,chr19
RPL18,1,chr19
PLEKHA4,0.0463,chr19
PPP1R15A,0.204,chr19
GYS1,0.797,chr19
RUVBL2,0.000285,chr19
SNRNP70,0.676,chr19
RCN3,0.019,chr19
PRR12,0.522,chr19
IRF3,0.181,chr19
NR1H2,0.161,chr19
C19orf48,0.0807,chr19
PTPRS,0.631,chr19
ZNF836,0.371,chr19
ZNF766,0.818,chr19
ZNF610,0.946,chr19
ZNF880,0.0188,chr19
ZNF808,0.0734,chr19
ZNF701,0.000114,chr19
ZNF83,0.479,chr19
ZNF28,0.375,chr19
ZNF468,0.121,chr19
ZNF888,0.0101,chr19
ZNF816-ZNF321P,0.425,chr19
ZNF816,0.465,chr19
ZNF160,0.825,chr19
ZNF415,0.358,chr19
ZNF347,0.765,chr19
ZNF677,0.981,chr19
ZNF845,0.341,chr19
ZNF525,0.712,chr19
ZNF765,0.528,chr19
TPM3P9,0.237,chr19
ZNF761,0.354,chr19
ZNF813,0.628,chr19
MYADM,0.635,chr19
TSEN34,0.349,chr19
PPP1R12C,0.295,chr19
PPP6R1,0.677,chr19
RPL28,0.538,chr19
"NAT14",0.687,chr19
SSC5D,0.64,chr19
LOC107983998,0.234,chr19
ZNF581,0.0277,chr19
CCDC106,0.807,chr19
ZNF580,0.517,chr19
ZNF444,0.46,chr19
ZNF667,0.143,chr19
SAFB,0.841,chr19
ZNF264,0.785,chr19
ZNF304,0.543,chr19
TRAPPC2B,0.2,chr19
ZNF547,0.0505,chr19
ZNF548,0.0367,chr19
ZNF17,0.036,chr19
ZNF772,0.195,chr19
ZNF773,0.264,chr19
ZNF419,0.029,chr19
ZNF134,0.539,chr19
ZNF211,5.8e-05,chr19
ZNF776,0.603,chr19
ZNF814,0.0773,chr19
ZNF587,0.142,chr19
UBE2CP5,0.396,chr19
ZNF417,0.0604,chr19
ZNF256,0.73,chr19
ZNF606,0.888,chr19
BSG,0.444,chr19
ZSCAN18,0.912,chr19
ZNF135,0.4,chr19
ZNF274,0.975,chr19
ZNF584,0.0483,chr19
ZNF132,0.879,chr19
MZF1-AS1,0.414,chr19
MZF1,0.418,chr19
CENPBD2P,0.232,chr19
LOC107987272,0.408,chr19
MLLT1,0.0499,chr19
KHSRP,0.277,chr19
RNF126,0.347,chr19
C3,0.566,chr19
GPR108,0.000222,chr19
ZNF557,0.0227,chr19
INSR,0.0145,chr19
MCOLN1,0.398,chr19
PNPLA6,0.015,chr19
PTBP1,0.194,chr19
CERS4,0.231,chr19
NDUFA7,0.786,chr19
RPS28,0.0396,chr19
ANGPTL4,0.0104,chr19
RAB11B-AS1,0.22,chr19
RAB11B,0.0238,chr19
MARCHF2,0.292,chr19
ADAMTS10,0.63,chr19
MED16,0.412,chr19
ZNF558,0.828,chr19
WDR18,0.00418,chr19
COL5A3,0.22,chr19
TMEM259,0.0443,chr19
PPAN,0.514,chr19
PPAN-P2RY11,0.136,chr19
P2RY11,0.00767,chr19
EIF3G,0.0731,chr19
DNMT1,0.903,chr19
ICAM1,0.207,chr19
CNN2,0.254,chr19
TYK2,0.636,chr19
PDE4A,0.117,chr19
KRI1,0.475,chr19
ILF3,0.231,chr19
SMARCA4,0.179,chr19
LDLR,0.484,chr19
SPC24,0.735,chr19
SBNO2,0.982,chr19
KANK2,0.959,chr19
LOC105372273,0.00436,chr19
DOCK6,0.0129,chr19
ZNF627,0.0278,chr19
ACP5,0.653,chr19
ZNF440,0.00299,chr19
ZNF844,0.75,chr19
ZNF788P,0.772,chr19
ZNF136,0.189,chr19
LOC105372279,0.118,chr19
ZNF791,0.117,chr19
MAN2B1,0.43,chr19
"NACC1",0.258,chr19
IER2,0.582,chr19
PWWP3A,0.324,chr19
PKN1,0.47,chr19
GIPC1,0.0387,chr19
SYDE1,0.676,chr19
ILVBL,0.427,chr19
AKAP8,0.0953,chr19
TPM4,0.411,chr19
RAB8A,0.332,chr19
SMIM7,0.151,chr19
SIN3B,0.616,chr19
CPAMD8,0.479,chr19
MRPL34,0.445,chr19
ABHD8,0.46,chr19
PNKP,0.2,chr19
AKT1S1,0.364,chr19
TBC1D17,0.902,chr19
NUP62,0.00073,chr19
IL4I1,0.14,chr19
MIR4751,0.000226,chr19
ATF5,0.00223,chr19
KDM4B,0.536,chr19
ZNF577,0.0837,chr19
ZNF649-AS1,0.787,chr19
ZNF649,0.83,chr19
ZNF350-AS1,0.144,chr19
ZNF350,0.147,chr19
ZNF615,0.112,chr19
ZNF614,0.395,chr19
ZNF432,0.586,chr19
ZNF841,0.823,chr19
DDA1,0.000575,chr19
PGLS-DT,0.0207,chr19
SLC27A1,0.0199,chr19
COLGALT1,0.397,chr19
JAK3,0.524,chr19
ARRDC2,0.0224,chr19
IFI30,0.0929,chr19
PIK3R2,0.12,chr19
MPV17L2,0.747,chr19
JUND,0.998,chr19
PGPEP1,0.197,chr19
GDF15,0.00459,chr19
KLF16,0.00216,chr19
KXD1,0.656,chr19
KLHL26,0.354,chr19
CRTC1,0.972,chr19
UPF1,0.346,chr19
COPE,0.729,chr19
HOMER3,0.873,chr19
SCAMP4,0.667,chr19
LINC00663,0.908,chr19
BTBD2,0.282,chr19
LOC107985278,0.369,chr19
LOC105372310,0.643,chr19
ZNF486,0.664,chr19
MKNK2,0.275,chr19
ZNF826P,0.978,chr19
ZNF626,0.00481,chr19
MOB3A,0.0993,chr19
AP3D1,0.38,chr19
ZNF100,0.1008,chr19
OAZ1,0.0804,chr19
SPPL2B,0.15,chr19
ZNF724,0.269,chr19
IPO5P1,0.492,chr19
ZNF91,0.0215,chr19
LOC105372337,0.935,chr19
ZNF675,0.935,chr19
ZNF254,0.0344,chr19
LMNB2,0.603,chr19
GADD45B,0.992,chr19
LOC105372345,0.65,chr19
LINC00662,0.652,chr19
LOC101927151,0.398,chr19
ZNF554,0.236,chr19
PLEKHF1,0.506,chr19
C19orf12,0.624,chr19
GNA11,0.862,chr19
ZNF507,0.676,chr19
PDCD5,0.291,chr19
GPATCH1,0.631,chr19
CEBPG,0.266,chr19
LSM14A,0.371,chr19
GARRE1,0.855,chr19
GPI,0.885,chr19
PDCD2L,0.325,chr19
NFIC,0.697,chr19
FXYD5,0,chr19
USF2,0.309,chr19
TMEM147-AS1,0.75,chr19
GAPDHS,0.758,chr19
U2AF1L4,0.701,chr19
IGFLR1,0.665,chr19
LIN37,0.521,chr19
PROSER3,0.319,chr19
LRFN3,0.335,chr19
ZNF565,0.954,chr19
ZNF146,0.913,chr19
ZFP14,0.207,chr19
ZNF566,0.29,chr19
ZNF260,0.526,chr19
ZNF529,0.539,chr19
ZNF529-AS1,0.683,chr19
ZNF790-AS1,0.892,chr19
ZNF790,0.906,chr19
ZNF568,0.0393,chr19
ZNF420,0.537,chr19
ZNF585A,0.697,chr19
ZNF585B,0.388,chr19
ZNF875,0.288,chr19
ZNF527,0.531,chr19
APBA3,0.01046,chr19
ZNF571-AS1,0.152,chr19
ZNF540,0.301,chr19
ZNF571,0.177,chr19
SIPA1L3,0.0887,chr19
YIF1B,0.844,chr19
KCNK6,0.208,chr19
SPRED3,0.624,chr19
ACTN4,0.66,chr19
ECH1,0.433,chr19
HNRNPL,0.19,chr19
SIRT2,0.272,chr19
NFKBIB,0.404,chr19
PAK4,0.286,chr19
MED29,0.804,chr19
PLEKHG2,0.956,chr19
RPS16,0.00201,chr19
SUPT5H,0.658,chr19
TIMM50,0.361,chr19
EID2,0.00564,chr19
EEF2,0.636,chr19
PIAS4,0.0711,chr19
BLVRB,0.369,chr19
LTBP4,0.842,chr19
NUMBL,0.214,chr19
COQ8B,0.554,chr19
C19orf54,0.277,chr19
MIA-RAB4B,0.0161,chr19
RAB4B-EGLN2,0.486,chr19
RAB4B,0.317,chr19
EGLN2,0.591,chr19
CYP2G1P,0.589,chr19
MAP2K2,0.00224,chr19
AXL,0.0646,chr19
HNRNPUL1,0.0456,chr19
TGFB1,0.021,chr19
LOC105372401,0.241,chr19
BCKDHA,0.0208,chr19
MEGF8,0.348,chr19
XRCC1,0.0626,chr19
SH3GL1,0.877,chr19
ZNF283,0.0242,chr19
ZNF404,0.64,chr19
LOC100505715,0.689,chr19
ZNF45-AS1,0.434,chr19
ZNF45,0.345,chr19
ZNF180,0.0108,chr19
UBXN6,0.3,chr19
TOMM40,0.393,chr19
ERCC2,0.573,chr19
DMPK,0.418,chr19
DMWD,0.277,chr19
SYMPK,0.0869,chr19
PPP5C,0.346,chr19
PRKD2,0.324,chr19
STRN4,0.479,chr19
AP2S1,0.856,chr19
ZC3H4,0.0192,chr19
C5AR2,0.039,chr19
DHX34,0.479,chr19
FEM1A,0.862,chr19
CARD8-AS1,0.0794,chr19
GRWD1,0.488,chr19
HSD17B14,0.302,chr19
NUCB1,0.000645,chr19
PIH1D1,0.0754,chr19
RPS11,0.381,chr19
VRK3,0.534,chr19
EMC10,0.688,chr19
ZNF175,0.346,chr19
ZNF616,0.0693,chr19
PPP2R1A,0.379,chr19
ZNF480,0.674,chr19
ZNF611,0.126,chr19
ZNF320,0.797,chr19
LENG8,0.00695,chr19
RDH13,0.181,chr19
ISOC2,0.957,chr19
SAFB2,0.187,chr19
ZSCAN5A,0.028,chr19
ZNF583,0.394,chr19
ZNF471,0.0333,chr19
ZNF470-DT,0.109,chr19
ZFP28,0.139,chr19
ZNF470,0.937,chr19
ZIM2-AS1,0.491,chr19
ZNF71,0.513,chr19
LONP1,0.355,chr19
ZNF805,0.684,chr19
ZNF8-ERVK3-1,0.626,chr19
ZNF8,0.545,chr19
LOC105372480,0.883,chr19
ERVK3-1,0.853,chr19
ZNF324,0.356,chr19
ZNF446,0.822,chr19
SLC27A5,0.404,chr19
TRIM28,0.235,chr19
XAB2,0.328,chr19
PET100,0.265,chr19
STXBP2,0.263,chr19
SNAPC2,0.947,chr19
ELAVL1,0.676,chr19
ZNF317,0.298,chr19
ZNF562,0.0604,chr19
OLFM2,0.548,chr19
SHFL,0.711,chr19
ANGPTL6,0.713,chr19
RAVER1,0.787,chr19
PRKCSH,0.403,chr19
ZNF823,0.216,chr19
ZNF441,0.838,chr19
ZNF69,0.434,chr19
STK11,0.556,chr19
ZNF490,0.58,chr19
TNPO2,0.888,chr19
GCDH,0.449,chr19
SYCE2,0.195,chr19
RAD23A,0.73,chr19
YJU2B,0.829,chr19
MRI1,0.301,chr19
IL27RA,0.00299,chr19
ZNF333,0.152,chr19
MBD3,0.167,chr19
CYP4F11,0.613,chr19
KLF2,0.0279,chr19
EPS15L1,0.257,chr19
C19orf44,7e-04,chr19
MED26,0.0566,chr19
CHERP,0.0397,chr19
SLC35E1,0.996,chr19
MYO9B,0.753,chr19
OCEL1,0.19,chr19
BABAM1,0.517,chr19
USHBP1,0.528,chr19
MAST3,0.383,chr19
REXO1,0.85,chr19
ZNF737,0.494,chr19
LOC105372316,0.473,chr19
ZNF708,0.378,chr19
ZNF493,0.347,chr19
LINC00664,0.213,chr19
ZNF429,0.0203,chr19
DNM2,0.0409,chr19
RGL3,0.559,chr19
ZNF439,0.42,chr19
LOC101928631,0.912,chr19
ZNF57,0.935,chr19
ZNF77,0.0543,chr19
POP4,0.0203,chr19
TSHZ3,0.142,chr19
NCLN,0.0637,chr19
CEP89,0.209,chr19
FAAP24,0.457,chr19
MIER2,0.189,chr19
UBA2,0.462,chr19
ZNF302,0.334,chr19
ZNF792,0.712,chr19
GRAMD1A,0.116,chr19
SCN1B,0.314,chr19
HMG20B,0.177,chr19
SDHAF1,0.808,chr19
ZNF461,0.179,chr19
ZNF567,0.105,chr19
ZNF850,0.105,chr19
ZNF383,0.849,chr19
LOC284412,0.291,chr19
ZNF569,0.0349,chr19
ZNF573,0.477,chr19
SARS2,0.938,chr19
FBXO17,0.911,chr19
FBXO27,0.0979,chr19
ZNF780A,0.974,chr19
AKT2,0.15,chr19
ITPKC,0.922,chr19
ZNF526,0.757,chr19
DEDD2,0.328,chr19
GSK3A,0.993,chr19
ERF,0.932,chr19
IRGQ,0.748,chr19
SMG9,0.116,chr19
ZNF284,0.072,chr19
ZNF223,0.0601,chr19
ZNF225,0.517,chr19
ZNF234,0.086,chr19
GIPR,0.878,chr19
IRF2BP1,0.913,chr19
DACT3,0.588,chr19
CCDC9,0.0255,chr19
INAFM1,0.661,chr19
"NAPA-AS1",0.265,chr19
"NAPA",0.293,chr19
FCGRT,0.0766,chr19
BCL2L12,0.209,chr19
CDC34,0.0625,chr19
FIZ1,0.836,chr19
ZNF784,0.0535,chr19
ZNF787,0.738,chr19
ZNF667-AS1,0.297,chr19
ZNF8-DT,0.348,chr19
ZNF544,0.277,chr19
VMAC,0.274,chr19
CAPS,0.254,chr19
CLPP,0.583,chr19
ALKBH7,0.463,chr19
GTF2F1,0.594,chr19
TRIP10,0.0249,chr19
ZNF443,0.138,chr19
ZNF799,0.105,chr19
ZNF709,0.574,chr19
WDR83OS,0.0619,chr19
WDR83,0.0758,chr19
DNASE2,0.0258,chr19
FARSA,0.112,chr19
NFIX,0.133,chr19
C19orf53,0.193,chr19
CC2D1A,0.261,chr19
ADGRE5,0.186,chr19
DNAJB1,0.00674,chr19
APC2,0.616,chr19
TMEM38A,0.271,chr19
ZNF414,0.559,chr19
R3HDM4,0.0153,chr19
ZNF426,0.0679,chr19
ARID3A,0.341,chr19
LOC105372272,0.0174,chr19
ARHGAP45,0.199,chr19
GPX4,0.341,chr19
ZNF20,0.624,chr19
ZNF44,0.739,chr19
ZNF564,0.475,chr19
DCAF15,0.497,chr19
UQCR11,0.161,chr19
TCF3,0.453,chr19
HAUS8,0.265,chr19
SSBP4,0.924,chr19
ISYNA1,0.587,chr19
ELL,0.154,chr19
MAU2,0.363,chr19
GATAD2A,0.277,chr19
ZNF101,0.824,chr19
ZNF506,0.189,chr19
ZNF56P,0.211,chr19
RPSAP58,0.367,chr19
ZNF555,0.615,chr19
TLE2,0.388,chr19
TLE5,0.0437,chr19
SCGB2B2,0.0219,chr19
FZR1,0.00067,chr19
MFSD12,0.00128,chr19
C19orf71,0.0592,chr19
LOC101927572,0.738,chr19
CLIP3,0.714,chr19
TBCB,0.522,chr19
LINC00665,0.103,chr19
ZNF345,0.435,chr19
ZNF829,0.33,chr19
ZFP30,0.843,chr19
ZNF607,0.191,chr19
WDR87BP,0.786,chr19
LOC644554,0.775,chr19
SERTAD1,0.0328,chr19
SERTAD3,0.643,chr19
ZBTB7A,0.235,chr19
DMAC2,0.906,chr19
CIC,0.0236,chr19
YJU2,0.11,chr19
ETHE1,0.839,chr19
ZNF575,0.858,chr19
LOC100379224,0.0521,chr19
ZNF224,0.0493,chr19
CLPTM1,0.51,chr19
PPP1R13L,0.0489,chr19
LIG1,0.531,chr19
FKBP8,0.164,chr19
CRLF1,0.00997,chr19
CILP2,0.00268,chr19
ZNF702P,0.632,chr19
ZNF665,0.504,chr19
ZNF524,0.73,chr19
U2AF2,0.479,chr19
ZNF542P,0.855,chr19
ZNF582,0.87,chr19
ZSCAN22,0.279,chr19
TNFSF9,0.289,chr19
FSTL3,0.529,chr19
TRAPPC5,0.802,chr19
HNRNPM,0.162,chr19
ZNF561,0.609,chr19
ZNF846,0.76,chr19
S1PR2,0.474,chr19
MRPL4,0.000356666666666667,chr19
CARM1,0.295,chr19
MIR23AHG,0.392,chr19
ZSWIM4,0.39,chr19
ADGRL1-AS1,0.461,chr19
ADGRL1,0.462,chr19
TECR,0.925,chr19
UBA52,0.776,chr19
REX1BD,0.624,chr19
NDUFA13,0.125,chr19
YJEFN3,0.478,chr19
ZNF253,0.0367,chr19
ANKRD27,0.864,chr19
ZNF181,0.834,chr19
DMKN,0.639,chr19
SAMD4B,0.166,chr19
PLAUR,0.047,chr19
ZNF221,0.183,chr19
ZNF155,0.299,chr19
ZNF230-DT,0.282,chr19
ZNF230,0.00119,chr19
LOC105372432,0.682,chr19
BCAT2,0.7,chr19
PRMT1,0.454,chr19
PTOV1,0.243,chr19
PTOV1-AS2,0.278,chr19
MYADM-AS1,0.0548,chr19
NDUFA3,0.472,chr19
GP6-AS1,0.889,chr19
DPY19L3,0.529,chr19
NUDT19,0.915,chr19
ZNF324B,0.061,chr19
TIMM44,0.446,chr19
ZNF559-ZNF177,0.367,chr19
ZNF559,0.374,chr19
POLR2E,0.676,chr19
ANGPTL8,0.38,chr19
BORCS8-MEF2B,0.07,chr19
BORCS8,0.0787,chr19
SGTA,0.766,chr19
KCTD15,0.261,chr19
PLD3,0.353,chr19
CCDC97,0.746,chr19
BLOC1S3,0.68,chr19
MARK4,0.675,chr19
MYDGF,0.667,chr19
SELENOW,0.0658,chr19
SCAF1,0.207,chr19
ZNF613,0.791,chr19
ZNF600,0.162,chr19
RPS9,0.00673,chr19
ZNF579,0.0141,chr19
ZNF749,0.968,chr19
ZNF416,0.0103,chr19
POLRMT,0.691,chr19
ZNF358,0.82,chr19
ICAM3,1,chr19
ZNF625-ZNF20,0.647,chr19
ZNF625,0.64,chr19
MIDN,0.285,chr19
DHPS,0.75,chr19
RNASEH2A,0.956,chr19
DAZAP1,0.795,chr19
NDUFB7,0.293,chr19
NOTCH3,0.0265,chr19
AP1M1,0.233,chr19
BST2,0.796,chr19
COMP,NA,chr19
DDX49,0.394,chr19
ZNF431,0.622,chr19
MAP3K10,0.458,chr19
TMEM91,0.216,chr19
TIMM13,0.575,chr19
WDR88,0.0833,chr19
SNRPA,0.862,chr19
MIA,0.435,chr19
CYP2T1P,0.722,chr19
ZNF222,0.354,chr19
EML2,0.253,chr19
FLT3LG,0.0557,chr19
VSIG10L,0.956,chr19
ZNF528,0.327,chr19
ARHGEF18,0.174,chr19
MAP2K7,0.359,chr19
CD320,0.746,chr19
ZNF699,0.509,chr19
ZNF561-AS1,0.74,chr19
HSPC102,0.125,chr19
TSPAN16,0.128,chr19
RAB3D,0.241,chr19
CCDC159,0.593,chr19
ZNF763,0.233,chr19
ZNF700,0.235,chr19
BRD4,0.302,chr19
ANO8,0.747,chr19
GTPBP3,0.317,chr19
RFXANK,0.132,chr19
CSNK1G2,0.403,chr19
ZNF85,0.998,chr19
ZNF430,0.251,chr19
URI1,0.0305,chr19
PEPD,0.283,chr19
WDR62,0.0662,chr19
SPINT2,0.298,chr19
C19orf33,0.262,chr19
FAM98C,0.997,chr19
ARHGEF1,0.884,chr19
CPNE1,0.448,chr20
RBM12,0.152,chr20
RBM39,0.00956,chr20
PHF20,0.457,chr20
NORAD,0.907,chr20
EPB41L1,0.972,chr20
ATRN,0.356,chr20
DLGAP4,0.643,chr20
SOGA1,0.877,chr20
MANBAL,0.394,chr20
KIAA1755,0,chr20
MAVS,0.838,chr20
DHX35,0.777,chr20
PANK2,9.3e-05,chr20
RNF24,0.0833,chr20
RBCK1,0.765,chr20
PLCG1,0.373,chr20
ZHX3,0.675,chr20
LPIN3,0.535,chr20
CHD6,0.579,chr20
TBC1D20,0.173,chr20
OSER1,0.0793,chr20
TTPAL,0.0469,chr20
SERINC3,0.0758,chr20
PABPC1L,0.172,chr20
STK4,0.06,chr20
SNX21,0.229,chr20
ACOT8,0.577,chr20
ZSWIM3,0.234,chr20
CTSA,0.904,chr20
PCIF1,0.651,chr20
NCOA5,0.738,chr20
SLC35C2,0.239,chr20
ELMO2,0.245,chr20
ZNF334,0.227,chr20
SLC2A10,0.996,chr20
ZMYND8,0.129,chr20
SULF2,0.0386,chr20
SLC23A2,0.00077,chr20
ARFGEF2,0.575,chr20
CSE1L,0.0611,chr20
STAU1,0.958,chr20
DDX27,0.546,chr20
ZNFX1,0.124,chr20
ZFAS1,0.5,chr20
SLC9A8,0.0142,chr20
PEDS1-UBE2V1,0.378,chr20
UBE2V1,0.0554,chr20
PEDS1,0.235,chr20
TMEM230,0.217,chr20
PCNA,0.645,chr20
NFATC2,0.822,chr20
ATP9A,0.285,chr20
ZNF217,0.337,chr20
PFDN4,0.394,chr20
DOK5,0.412,chr20
LINC00654,0.155,chr20
GPCPD1,0.23,chr20
CSTF1,0.808,chr20
PMEPA1,1.7e-05,chr20
NKILA,0.227,chr20
PPP4R1L,0.669,chr20
RAB22A,0.869,chr20
VAPB,0.217,chr20
STX16-NPEPL1,0.747,chr20
STX16,0.925,chr20
NPEPL1,0.471,chr20
CTSZ,0.0176,chr20
NELFCD,0.303,chr20
PRELID3B,0.794,chr20
CRLS1,0.674,chr20
MCM8,0.968,chr20
SS18L1,0.0781,chr20
MTG2,0.342,chr20
OSBPL2,0.146,chr20
RPS21,0.532,chr20
MRGBP,0.498,chr20
OGFR,0.154,chr20
COL9A3,0.882,chr20
TCFL5,0.891,chr20
DIDO1,0.408,chr20
GID8,0.949,chr20
SLC17A9,0.439,chr20
ARFGAP1,0.924,chr20
GMEB2,0.617,chr20
ARFRP1,0.73,chr20
ZBTB46,0.249,chr20
TPD52L2,0.894,chr20
DNAJC5,0.00345,chr20
TMX4,0.0255,chr20
MKKS,0.826,chr20
LOC105372496,0.69,chr20
PSMF1,0.468,chr20
SDCBP2-AS1,0.0389,chr20
FKBP1A-SDCBP2,0.0368,chr20
SDCBP2,0.0253,chr20
FKBP1A,0.0494,chr20
ESF1,0.558,chr20
NSFL1C,0.954,chr20
KIF16B,0.644,chr20
SNRPB2,0,chr20
BFSP1,0.366,chr20
RRBP1,0.148,chr20
SNX5,0.155,chr20
OVOL2,0.142,chr20
SNORD17,0.616,chr20
MGME1,0.145,chr20
RBBP9,0.139,chr20
SIRPA,0.00034,chr20
RIN2,0.00178,chr20
"NAA20",0.923,chr20
RALGAPA2,0.148,chr20
THBD,0,chr20
GZF1,0.739,chr20
CST3,0.82,chr20
APMAP,0.259,chr20
ACSS1,0.427,chr20
NINL,0.535,chr20
"NANP",0.016,chr20
ZNF337,0.12,chr20
NOP56,0.0691,chr20
PCED1A,0.86,chr20
ZCCHC3,0.198,chr20
PTPRA,0.0665,chr20
MRPS26,0.214,chr20
DUSP15,0.196,chr20
DDRGK1,0.317,chr20
MAPRE1,0.0016,chr20
NECAB3,0.0174,chr20
PXMP4,0.296,chr20
GGT7,0.13,chr20
ACSS2,0.5,chr20
TLDC2,0.0179,chr20
SAMHD1,0.0196,chr20
RBL1,0.0409,chr20
TGM2,0.329,chr20
ACTR5,0.0164,chr20
TRIB3,0.125,chr20
EMILIN3,0.506,chr20
ZNF335,0.0663,chr20
CD40,0.126,chr20
SLC13A3,0.183,chr20
PRNP,0.00877,chr20
CSNK2A1,0.581,chr20
PREX1,0.235,chr20
B4GALT5,0.547,chr20
SPATA2,0.289,chr20
RNF114,0.277,chr20
SNAI1,0.149,chr20
BCAS4,0.233,chr20
ADNP,0.0455,chr20
AURKA,0.0696,chr20
APCDD1L,0.117,chr20
SLX4IP,0.734,chr20
ZNF133-AS1,0.162,chr20
ZNF133,0.167,chr20
DTD1,0.837,chr20
CRNKL1,0.141,chr20
"NAPB",0.797,chr20
PYGB,0.663,chr20
ABHD12,1e-06,chr20
FERMT1,0.245,chr20
YTHDF1,0.993,chr20
LIME1,0.234,chr20
ZGPAT,0.238,chr20
ZNF512B,0.708,chr20
PCMTD2,0.294,chr20
SRXN1,0.772,chr20
BMP2,0.000585,chr20
ISM1,0.959,chr20
DSTN,0.494,chr20
KAT14,0.194,chr20
SEC23B,0.0617,chr20
STK35,0.137,chr20
ZNF343,0.138,chr20
ENTPD6,0.694,chr20
ZNF337-AS1,0.016,chr20
VPS16,0.0817,chr20
NRSN2-AS1,0.55,chr20
POFUT1,0.0821,chr20
KIF3B,0.244,chr20
NOL4L,0.593,chr20
CBFA2T2,0.367,chr20
ITCH,0.782,chr20
MMP24OS,0.231,chr20
MMP24,0.884,chr20
MMP24-AS1-EDEM2,0.937,chr20
EIF6,0.181,chr20
